,Use shuttle,Hard to locate shuttle,Get late waiting for shuttle,Instant payment via wallet,Use our product
4,No,Yes,Yes,Yes,Yes
476,Yes,No,No,No,No
240,No,Yes,Yes,Yes,Yes
56,No,Yes,Yes,Yes,Yes
325,No,Yes,Yes,Yes,Yes
106,No,Yes,Yes,Yes,Yes
123,No,Yes,Yes,Yes,Yes
397,Yes,Yes,No,No,Yes
40,No,Yes,Yes,Yes,Yes
290,No,Yes,Yes,Yes,Yes
70,No,Yes,Yes,Yes,Yes
457,Yes,No,No,No,Yes
462,Yes,No,No,No,Yes
137,No,Yes,Yes,Yes,Yes
23,No,Yes,Yes,Yes,Yes
84,No,Yes,Yes,Yes,Yes
91,No,Yes,Yes,Yes,Yes
96,No,Yes,Yes,Yes,Yes
414,Yes,Yes,No,No,Yes
352,No,Yes,No,No,Yes
390,Yes,Yes,No,No,Yes
217,No,Yes,Yes,Yes,Yes
347,No,Yes,No,No,Yes
391,Yes,Yes,No,No,Yes
160,No,Yes,Yes,Yes,Yes
259,No,Yes,Yes,Yes,Yes
185,No,Yes,Yes,Yes,Yes
320,No,Yes,Yes,Yes,Yes
50,No,Yes,Yes,Yes,Yes
202,No,Yes,Yes,Yes,Yes
326,No,Yes,Yes,Yes,Yes
305,No,Yes,Yes,Yes,Yes
378,Yes,Yes,No,No,Yes
247,No,Yes,Yes,Yes,Yes
22,No,Yes,Yes,Yes,Yes
283,No,Yes,Yes,Yes,Yes
385,Yes,Yes,No,No,Yes
411,Yes,Yes,No,No,Yes
39,No,Yes,Yes,Yes,Yes
360,No,Yes,No,No,Yes
88,No,Yes,Yes,Yes,Yes
133,No,Yes,Yes,Yes,Yes
179,No,Yes,Yes,Yes,Yes
276,No,Yes,Yes,Yes,Yes
315,No,Yes,Yes,Yes,Yes
372,Yes,Yes,No,No,Yes
121,No,Yes,Yes,Yes,Yes
429,Yes,Yes,No,No,Yes
322,No,Yes,Yes,Yes,Yes
461,Yes,No,No,No,Yes
119,No,Yes,Yes,Yes,Yes
215,No,Yes,Yes,Yes,Yes
99,No,Yes,Yes,Yes,Yes
298,No,Yes,Yes,Yes,Yes
465,Yes,No,No,No,Yes
469,Yes,No,No,No,No
207,No,Yes,Yes,Yes,Yes
238,No,Yes,Yes,Yes,Yes
77,No,Yes,Yes,Yes,Yes
295,No,Yes,Yes,Yes,Yes
377,Yes,Yes,No,No,Yes
263,No,Yes,Yes,Yes,Yes
183,No,Yes,Yes,Yes,Yes
456,Yes,No,No,No,Yes
404,Yes,Yes,No,No,Yes
60,No,Yes,Yes,Yes,Yes
130,No,Yes,Yes,Yes,Yes
192,No,Yes,Yes,Yes,Yes
204,No,Yes,Yes,Yes,Yes
167,No,Yes,Yes,Yes,Yes
178,No,Yes,Yes,Yes,Yes
249,No,Yes,Yes,Yes,Yes
142,No,Yes,Yes,Yes,Yes
242,No,Yes,Yes,Yes,Yes
261,No,Yes,Yes,Yes,Yes
339,No,Yes,No,No,Yes
376,Yes,Yes,No,No,Yes
71,No,Yes,Yes,Yes,Yes
205,No,Yes,Yes,Yes,Yes
131,No,Yes,Yes,Yes,Yes
262,No,Yes,Yes,Yes,Yes
382,Yes,Yes,No,No,Yes
89,No,Yes,Yes,Yes,Yes
78,No,Yes,Yes,Yes,Yes
417,Yes,Yes,No,No,Yes
122,No,Yes,Yes,Yes,Yes
139,No,Yes,Yes,Yes,Yes
138,No,Yes,Yes,Yes,Yes
454,Yes,No,No,No,Yes
405,Yes,Yes,No,No,Yes
124,No,Yes,Yes,Yes,Yes
49,No,Yes,Yes,Yes,Yes
73,No,Yes,Yes,Yes,Yes
316,No,Yes,Yes,Yes,Yes
244,No,Yes,Yes,Yes,Yes
173,No,Yes,Yes,Yes,Yes
275,No,Yes,Yes,Yes,Yes
440,Yes,Yes,No,No,Yes
17,No,Yes,Yes,Yes,Yes
72,No,Yes,Yes,Yes,Yes
474,Yes,No,No,No,No
387,Yes,Yes,No,No,Yes
53,No,Yes,Yes,Yes,Yes
75,No,Yes,Yes,Yes,Yes
219,No,Yes,Yes,Yes,Yes
498,Yes,No,No,No,No
413,Yes,Yes,No,No,Yes
14,No,Yes,Yes,Yes,Yes
236,No,Yes,Yes,Yes,Yes
448,Yes,Yes,No,No,Yes
375,Yes,Yes,No,No,Yes
274,No,Yes,Yes,Yes,Yes
463,Yes,No,No,No,Yes
485,Yes,No,No,No,No
74,No,Yes,Yes,Yes,Yes
482,Yes,No,No,No,No
494,Yes,No,No,No,No
475,Yes,No,No,No,No
345,No,Yes,No,No,Yes
155,No,Yes,Yes,Yes,Yes
281,No,Yes,Yes,Yes,Yes
477,Yes,No,No,No,No
314,No,Yes,Yes,Yes,Yes
103,No,Yes,Yes,Yes,Yes
450,Yes,No,No,No,Yes
481,Yes,No,No,No,No
355,No,Yes,No,No,Yes
343,No,Yes,No,No,Yes
307,No,Yes,Yes,Yes,Yes
151,No,Yes,Yes,Yes,Yes
140,No,Yes,Yes,Yes,Yes
54,No,Yes,Yes,Yes,Yes
432,Yes,Yes,No,No,Yes
466,Yes,No,No,No,Yes
497,Yes,No,No,No,No
293,No,Yes,Yes,Yes,Yes
104,No,Yes,Yes,Yes,Yes
402,Yes,Yes,No,No,Yes
492,Yes,No,No,No,No
42,No,Yes,Yes,Yes,Yes
301,No,Yes,Yes,Yes,Yes
331,No,Yes,Yes,Yes,Yes
337,No,Yes,Yes,Yes,Yes
225,No,Yes,Yes,Yes,Yes
203,No,Yes,Yes,Yes,Yes
109,No,Yes,Yes,Yes,Yes
163,No,Yes,Yes,Yes,Yes
265,No,Yes,Yes,Yes,Yes
223,No,Yes,Yes,Yes,Yes
250,No,Yes,Yes,Yes,Yes
430,Yes,Yes,No,No,Yes
62,No,Yes,Yes,Yes,Yes
44,No,Yes,Yes,Yes,Yes
471,Yes,No,No,No,No
431,Yes,Yes,No,No,Yes
268,No,Yes,Yes,Yes,Yes
266,No,Yes,Yes,Yes,Yes
211,No,Yes,Yes,Yes,Yes
273,No,Yes,Yes,Yes,Yes
436,Yes,Yes,No,No,Yes
251,No,Yes,Yes,Yes,Yes
424,Yes,Yes,No,No,Yes
36,No,Yes,Yes,Yes,Yes
110,No,Yes,Yes,Yes,Yes
291,No,Yes,Yes,Yes,Yes
358,No,Yes,No,No,Yes
209,No,Yes,Yes,Yes,Yes
407,Yes,Yes,No,No,Yes
425,Yes,Yes,No,No,Yes
280,No,Yes,Yes,Yes,Yes
359,No,Yes,No,No,Yes
232,No,Yes,Yes,Yes,Yes
489,Yes,No,No,No,No
419,Yes,Yes,No,No,Yes
395,Yes,Yes,No,No,Yes
176,No,Yes,Yes,Yes,Yes
478,Yes,No,No,No,No
398,Yes,Yes,No,No,Yes
197,No,Yes,Yes,Yes,Yes
496,Yes,No,No,No,No
480,Yes,No,No,No,No
113,No,Yes,Yes,Yes,Yes
388,Yes,Yes,No,No,Yes
213,No,Yes,Yes,Yes,Yes
380,Yes,Yes,No,No,Yes
393,Yes,Yes,No,No,Yes
256,No,Yes,Yes,Yes,Yes
470,Yes,No,No,No,No
410,Yes,Yes,No,No,Yes
302,No,Yes,Yes,Yes,Yes
434,Yes,Yes,No,No,Yes
93,No,Yes,Yes,Yes,Yes
177,No,Yes,Yes,Yes,Yes
83,No,Yes,Yes,Yes,Yes
26,No,Yes,Yes,Yes,Yes
379,Yes,Yes,No,No,Yes
333,No,Yes,Yes,Yes,Yes
48,No,Yes,Yes,Yes,Yes
216,No,Yes,Yes,Yes,Yes
453,Yes,No,No,No,Yes
132,No,Yes,Yes,Yes,Yes
252,No,Yes,Yes,Yes,Yes
452,Yes,No,No,No,Yes
237,No,Yes,Yes,Yes,Yes
59,No,Yes,Yes,Yes,Yes
105,No,Yes,Yes,Yes,Yes
157,No,Yes,Yes,Yes,Yes
201,No,Yes,Yes,Yes,Yes
464,Yes,No,No,No,Yes
7,No,Yes,Yes,Yes,Yes
90,No,Yes,Yes,Yes,Yes
171,No,Yes,Yes,Yes,Yes
278,No,Yes,Yes,Yes,Yes
361,No,Yes,No,No,Yes
35,No,Yes,Yes,Yes,Yes
371,Yes,Yes,No,No,Yes
11,No,Yes,Yes,Yes,Yes
493,Yes,No,No,No,No
374,Yes,Yes,No,No,Yes
354,No,Yes,No,No,Yes
10,No,Yes,Yes,Yes,Yes
389,Yes,Yes,No,No,Yes
370,Yes,Yes,No,No,Yes
182,No,Yes,Yes,Yes,Yes
287,No,Yes,Yes,Yes,Yes
297,No,Yes,Yes,Yes,Yes
341,No,Yes,No,No,Yes
311,No,Yes,Yes,Yes,Yes
100,No,Yes,Yes,Yes,Yes
254,No,Yes,Yes,Yes,Yes
336,No,Yes,Yes,Yes,Yes
303,No,Yes,Yes,Yes,Yes
499,Yes,No,No,No,No
168,No,Yes,Yes,Yes,Yes
12,No,Yes,Yes,Yes,Yes
310,No,Yes,Yes,Yes,Yes
418,Yes,Yes,No,No,Yes
126,No,Yes,Yes,Yes,Yes
435,Yes,Yes,No,No,Yes
45,No,Yes,Yes,Yes,Yes
318,No,Yes,Yes,Yes,Yes
366,Yes,Yes,No,No,Yes
334,No,Yes,Yes,Yes,Yes
421,Yes,Yes,No,No,Yes
189,No,Yes,Yes,Yes,Yes
438,Yes,Yes,No,No,Yes
255,No,Yes,Yes,Yes,Yes
43,No,Yes,Yes,Yes,Yes
128,No,Yes,Yes,Yes,Yes
193,No,Yes,Yes,Yes,Yes
66,No,Yes,Yes,Yes,Yes
286,No,Yes,Yes,Yes,Yes
227,No,Yes,Yes,Yes,Yes
392,Yes,Yes,No,No,Yes
169,No,Yes,Yes,Yes,Yes
61,No,Yes,Yes,Yes,Yes
47,No,Yes,Yes,Yes,Yes
29,No,Yes,Yes,Yes,Yes
332,No,Yes,Yes,Yes,Yes
134,No,Yes,Yes,Yes,Yes
79,No,Yes,Yes,Yes,Yes
115,No,Yes,Yes,Yes,Yes
269,No,Yes,Yes,Yes,Yes
152,No,Yes,Yes,Yes,Yes
327,No,Yes,Yes,Yes,Yes
253,No,Yes,Yes,Yes,Yes
57,No,Yes,Yes,Yes,Yes
224,No,Yes,Yes,Yes,Yes
409,Yes,Yes,No,No,Yes
184,No,Yes,Yes,Yes,Yes
229,No,Yes,Yes,Yes,Yes
1,No,Yes,Yes,Yes,Yes
191,No,Yes,Yes,Yes,Yes
41,No,Yes,Yes,Yes,Yes
373,Yes,Yes,No,No,Yes
460,Yes,No,No,No,Yes
346,No,Yes,No,No,Yes
125,No,Yes,Yes,Yes,Yes
221,No,Yes,Yes,Yes,Yes
416,Yes,Yes,No,No,Yes
277,No,Yes,Yes,Yes,Yes
445,Yes,Yes,No,No,Yes
356,No,Yes,No,No,Yes
153,No,Yes,Yes,Yes,Yes
98,No,Yes,Yes,Yes,Yes
400,Yes,Yes,No,No,Yes
18,No,Yes,Yes,Yes,Yes
300,No,Yes,Yes,Yes,Yes
158,No,Yes,Yes,Yes,Yes
289,No,Yes,Yes,Yes,Yes
233,No,Yes,Yes,Yes,Yes
64,No,Yes,Yes,Yes,Yes
37,No,Yes,Yes,Yes,Yes
25,No,Yes,Yes,Yes,Yes
82,No,Yes,Yes,Yes,Yes
306,No,Yes,Yes,Yes,Yes
147,No,Yes,Yes,Yes,Yes
446,Yes,Yes,No,No,Yes
220,No,Yes,Yes,Yes,Yes
230,No,Yes,Yes,Yes,Yes
308,No,Yes,Yes,Yes,Yes
423,Yes,Yes,No,No,Yes
170,No,Yes,Yes,Yes,Yes
258,No,Yes,Yes,Yes,Yes
321,No,Yes,Yes,Yes,Yes
443,Yes,Yes,No,No,Yes
144,No,Yes,Yes,Yes,Yes
248,No,Yes,Yes,Yes,Yes
403,Yes,Yes,No,No,Yes
0,No,Yes,Yes,Yes,Yes
479,Yes,No,No,No,No
365,Yes,Yes,No,No,Yes
412,Yes,Yes,No,No,Yes
24,No,Yes,Yes,Yes,Yes
148,No,Yes,Yes,Yes,Yes
129,No,Yes,Yes,Yes,Yes
190,No,Yes,Yes,Yes,Yes
340,No,Yes,No,No,Yes
488,Yes,No,No,No,No
386,Yes,Yes,No,No,Yes
149,No,Yes,Yes,Yes,Yes
127,No,Yes,Yes,Yes,Yes
107,No,Yes,Yes,Yes,Yes
415,Yes,Yes,No,No,Yes
234,No,Yes,Yes,Yes,Yes
439,Yes,Yes,No,No,Yes
473,Yes,No,No,No,No
162,No,Yes,Yes,Yes,Yes
214,No,Yes,Yes,Yes,Yes
426,Yes,Yes,No,No,Yes
442,Yes,Yes,No,No,Yes
330,No,Yes,Yes,Yes,Yes
15,No,Yes,Yes,Yes,Yes
159,No,Yes,Yes,Yes,Yes
458,Yes,No,No,No,Yes
329,No,Yes,Yes,Yes,Yes
239,No,Yes,Yes,Yes,Yes
235,No,Yes,Yes,Yes,Yes
383,Yes,Yes,No,No,Yes
150,No,Yes,Yes,Yes,Yes
495,Yes,No,No,No,No
408,Yes,Yes,No,No,Yes
58,No,Yes,Yes,Yes,Yes
292,No,Yes,Yes,Yes,Yes
111,No,Yes,Yes,Yes,Yes
294,No,Yes,Yes,Yes,Yes
166,No,Yes,Yes,Yes,Yes
231,No,Yes,Yes,Yes,Yes
97,No,Yes,Yes,Yes,Yes
257,No,Yes,Yes,Yes,Yes
441,Yes,Yes,No,No,Yes
288,No,Yes,Yes,Yes,Yes
27,No,Yes,Yes,Yes,Yes
483,Yes,No,No,No,No
338,No,Yes,Yes,No,Yes
260,No,Yes,Yes,Yes,Yes
5,No,Yes,Yes,Yes,Yes
154,No,Yes,Yes,Yes,Yes
399,Yes,Yes,No,No,Yes
65,No,Yes,Yes,Yes,Yes
328,No,Yes,Yes,Yes,Yes
491,Yes,No,No,No,No
120,No,Yes,Yes,Yes,Yes
31,No,Yes,Yes,Yes,Yes
101,No,Yes,Yes,Yes,Yes
32,No,Yes,Yes,Yes,Yes
272,No,Yes,Yes,Yes,Yes
342,No,Yes,No,No,Yes
367,Yes,Yes,No,No,Yes
455,Yes,No,No,No,Yes
279,No,Yes,Yes,Yes,Yes
467,Yes,No,No,No,Yes
102,No,Yes,Yes,Yes,Yes
38,No,Yes,Yes,Yes,Yes
335,No,Yes,Yes,Yes,Yes
186,No,Yes,Yes,Yes,Yes
16,No,Yes,Yes,Yes,Yes
146,No,Yes,Yes,Yes,Yes
200,No,Yes,Yes,Yes,Yes
420,Yes,Yes,No,No,Yes
449,Yes,Yes,No,No,Yes
422,Yes,Yes,No,No,Yes
